pfas,name,measure,mean,sd,sig,pvalue
47,Methyl heptafluorobutyrate,"bcf, 0.5 uM",,,,
48,"1H,1H,5H-Perfluoropentanol","bcf, 0.5 uM",,,,
49,3-(Perfluoropropyl)propanol,"bcf, 0.5 uM",,,,
50,11:1 Fluorotelomer alcohol,"bcf, 0.5 uM",,,,
51,5H-Octafluoropentanoyl fluoride,"bcf, 0.5 uM",,,,
52,"Difluoromethyl 1H,1H-perfluoropropyl","bcf, 0.5 uM",,,,
53,Heptafluoropropyl trifluorovinyl ether,"bcf, 0.5 uM",,,,
54,"Perfluoro-3,6-dioxaheptanoic acid","bcf, 0.5 uM",2.1,0.27,,
55,Methyl perfluoroethyl ketone,"bcf, 0.5 uM",,,,
56,3-(Perfluoroisopropyl)-2-propenoic acid,"bcf, 0.5 uM",2.6,0.1,,
57,Potassium perfluorobutanesulfonate,"bcf, 0.5 uM",4,0.9,,
58,Octafluoroadipamide,"bcf, 0.5 uM",,,,
59,"1H,1H,2H-Perfluoro-1-hexene","bcf, 0.5 uM",,,,
60,Perfluorooctanesulfonamide,"bcf, 0.5 uM",501,19,,
61,3H-Perfluoro-4-hydroxy-3-penten-2-one,"bcf, 0.5 uM",,,,
62,1-Pentafluoroethylethanol,"bcf, 0.5 uM",,,,
63,Perfluoroglutaryl difluoride,"bcf, 0.5 uM",,,,
64,8:2 Fluorotelomer alcohol,"bcf, 0.5 uM",,,,
65,Ethyl perfluorobutyl ether,"bcf, 0.5 uM",,,,
66,"3H-Perfluoro-2,2,4,4-tetrahydroxypentane","bcf, 0.5 uM",,,,
67,Dodecafluoroheptanol,"bcf, 0.5 uM",,,,
68,"1H,1H-Perfluoropentylamine","bcf, 0.5 uM",,,,
69,6H-Perfluorohex-1-ene,"bcf, 0.5 uM",,,,
70,6:2 Fluorotelomer alcohol,"bcf, 0.5 uM",,,,
71,2-Amino-2H-perfluoropropane,"bcf, 0.5 uM",,,,
72,5H-Perfluoropentanal,"bcf, 0.5 uM",,,,
73,Perfluorobutanesulfonic acid,"bcf, 0.5 uM",2.9,0.36,,
74,Perfluorooctanoic acid,"bcf, 0.5 uM",32,4.4,,
1,tris(Trifluoroethoxy)methane,"bcf, 5 uM",,,,
2,6:2 Fluorotelomer methacrylate,"bcf, 5 uM",,,,
3,Sevoflurane,"bcf, 5 uM",,,,
4,4H-Perfluorobutanoic acid,"bcf, 5 uM",1.9,0.4,,
5,Perfluorooctanesulfonamido ammonium iodide,"bcf, 5 uM",56,16,,
6,Potassium perfluorooctanesulfonate,"bcf, 5 uM",82,9.2,,
7,"Perfluoro-3,6-dioxaoctane-1,8-dioic acid","bcf, 5 uM",,,,
8,Perfluorobutanesulfonyl fluoride,"bcf, 5 uM",,,,
9,N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,"bcf, 5 uM",,,,
10,2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate,"bcf, 5 uM",,,,
11,Heptafluorobutanol,"bcf, 5 uM",,,,
12,Perfluorobutanoic acid,"bcf, 5 uM",1,0.28,,
13,"2,2-Difluoroethyl triflate","bcf, 5 uM",,,,
14,"2H,2H,3H,3H-Perfluorooctanoic acid","bcf, 5 uM",8.7,2.1,,
15,4:2 Fluorotelomer sulfonic acid,"bcf, 5 uM",2.5,0.13,,
16,N-Methylperfluorooctanesulfonamide,"bcf, 5 uM",89,9.4,,
17,Perfluorononanoic acid,"bcf, 5 uM",73,6.9,,
18,Allyl perfluoroisopropyl ether,"bcf, 5 uM",,,,
19,Nonafluoropentanamide,"bcf, 5 uM",,,,
20,Perfluorohexanoic acid,"bcf, 5 uM",6.5,0.54,,
21,Ammonium perfluorooctanoate,"bcf, 5 uM",21,0.42,,
22,1-Propenylperfluoropropane,"bcf, 5 uM",,,,
23,"3,3-Bis(trifluoromethyl)-2-propenoic acid","bcf, 5 uM",0.69,0.29,,
24,N-Ethylperfluorooctanesulfonamide,"bcf, 5 uM",24,2.9,,
25,2-Vinylperfluorobutane,"bcf, 5 uM",,,,
26,Potassium perfluorohexanesulfonate,"bcf, 5 uM",30,0.71,,
27,Flurothyl,"bcf, 5 uM",,,,
28,Perfluoro(4-methoxybutanoic) acid,"bcf, 5 uM",1.4,0.17,,
29,"1,1,1,3,3-Pentafluorobutane","bcf, 5 uM",,,,
30,"3-(Perfluoro-2-butyl)propane-1,2-diol","bcf, 5 uM",,,,
31,Heptafluorobutyramide,"bcf, 5 uM",,,,
32,"1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol","bcf, 5 uM",8.4,1.1,,
33,2-Aminohexafluoropropan-2-ol,"bcf, 5 uM",,,,
34,"Perfluoro-3,6,9-trioxatridecanoic acid","bcf, 5 uM",93,19,,
35,Hexafluoroamylene glycol,"bcf, 5 uM",1.1,0.09,,
36,Methyl perfluorohexanoate,"bcf, 5 uM",,,,
37,Perfluoro-2-methyl-3-oxahexanoic acid,"bcf, 5 uM",,,,
